                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4186,                 1.4658,                 1.1342,                0.24985,                0.82143,                0.24857,                0.14374,                 1.3275,                 3.7851,                  1.158,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.3363,                0.94481,                  1.134,                0.38838,                0.85714,                0.49015,                0.31386,                 1.3382,                 1.9245,                 1.1756,              0.0012312,              0.0012312,              0.0012312
                      3,                 1.3382,                0.88861,                 1.1413,                 0.4041,                0.89286,                0.42268,                 0.2198,                 1.4188,                 2.4524,                 1.2423,              0.0017228,              0.0017228,              0.0017228
                      4,                 1.3717,                0.93077,                 1.1898,                 0.4044,                0.89286,                0.48537,                0.27947,                 1.3498,                 2.7867,                 1.3226,               0.001604,               0.001604,               0.001604
                      5,                 1.3026,                0.77513,                 1.1904,                0.42782,                0.92857,                0.46884,                0.25136,                 1.4207,                 2.0445,                  1.364,               0.001604,               0.001604,               0.001604
                      6,                 1.3262,                0.83302,                 1.2241,                0.48921,                0.89286,                 0.5463,                0.34401,                  1.263,                 1.5758,                 1.2046,               0.001472,               0.001472,               0.001472
                      7,                  1.321,                0.86264,                 1.1522,                0.44109,                0.93014,                0.46701,                0.28386,                 1.2573,                 2.0167,                 1.2247,                0.00134,                0.00134,                0.00134
                      8,                 1.2635,                0.74012,                 1.1449,                0.46573,                0.78571,                0.54102,                0.34643,                 1.2554,                 1.7157,                 1.1648,               0.001208,               0.001208,               0.001208
                      9,                 1.2294,                0.71534,                 1.1364,                0.44647,                0.92857,                0.49456,                0.32786,                 1.1461,                 1.6242,                 1.1153,               0.001076,               0.001076,               0.001076
                     10,                 1.2094,                0.65183,                 1.1073,                0.45955,                0.82143,                0.54971,                0.35878,                 1.2176,                 1.4574,                 1.1452,               0.000944,               0.000944,               0.000944
                     11,                 1.1784,                0.63914,                 1.1199,                0.41601,                0.96429,                0.56226,                0.39181,                 1.1948,                  1.428,                 1.1599,               0.000812,               0.000812,               0.000812
                     12,                 1.1932,                0.63362,                 1.0769,                0.43303,                0.95483,                0.52785,                0.34705,                 1.1384,                 1.5965,                 1.1179,                0.00068,                0.00068,                0.00068
                     13,                 1.1671,                0.60252,                 1.1024,                0.41552,                      1,                0.52738,                0.34902,                 1.1721,                 1.7226,                 1.1096,               0.000548,               0.000548,               0.000548
                     14,                  1.141,                0.59908,                 1.0921,                0.42976,                0.99594,                0.50244,                0.33419,                 1.1945,                 1.5119,                 1.1426,               0.000416,               0.000416,               0.000416
                     15,                 1.1521,                0.57838,                 1.1116,                0.42914,                      1,                0.51494,                 0.3444,                 1.1436,                 1.6834,                 1.1325,               0.000284,               0.000284,               0.000284
